id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
160	feld (1997a)	"<table><tr><td>Authors:</td><td>feld, sl</td></tr><tr><td>Title:</td><td>structural embeddedness and stability of interpersonal relations</td></tr><tr><td>Source:</td><td>social networks, 19(1), 91-95</td></tr><tr><td>Year:</td><td>1997</td></tr></table>"	https://doi.org/10.1016/s0378-8733(96)00293-6	0.9166	-0.2995	2	10	103	0.9912	1997	103	0.9912
161	barnes (1983)	"<table><tr><td>Authors:</td><td>barnes, ja; harary, f</td></tr><tr><td>Title:</td><td>graph-theory in network analysis</td></tr><tr><td>Source:</td><td>social networks, 5(2), 235-244</td></tr><tr><td>Year:</td><td>1983</td></tr></table>"	https://doi.org/10.1016/0378-8733(83)90026-6	-0.7129	-0.6798	21	9	103	0.7079	1983	103	0.7079
162	moody (2011)	"<table><tr><td>Authors:</td><td>moody, james; brynildsen, wendy d.; osgood, d. wayne; feinberg, mark e.; gest, scott</td></tr><tr><td>Title:</td><td>popularity trajectories and substance use in early adolescence</td></tr><tr><td>Source:</td><td>social networks, 33(2), 101-112</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/10.1016/j.socnet.2010.10.001	-0.0109	0.1448	4	15	102	2.4	2011	102	2.4
163	friedkin (1997)	"<table><tr><td>Authors:</td><td>friedkin, ne; johnsen, ec</td></tr><tr><td>Title:</td><td>social positions in influence networks</td></tr><tr><td>Source:</td><td>social networks, 19(3), 209-222</td></tr><tr><td>Year:</td><td>1997</td></tr></table>"	https://doi.org/10.1016/s0378-8733(96)00298-5	-0.1887	-0.0699	25	8	102	0.9816	1997	102	0.9816
164	hallinan (1978)	"<table><tr><td>Authors:</td><td>hallinan, mt</td></tr><tr><td>Title:</td><td>process of friendship formation</td></tr><tr><td>Source:</td><td>social networks, 1(2), 193-210</td></tr><tr><td>Year:</td><td>1978</td></tr></table>"	https://doi.org/10.1016/0378-8733(78)90019-9	0.1499	-0.0346	4	16	102	0.968	1978	102	0.968
165	ryan (2018)	"<table><tr><td>Authors:</td><td>ryan, louise; d'angelo, alessio</td></tr><tr><td>Title:</td><td>changing times: migrants' social network analysis and the challenges of longitudinal research</td></tr><tr><td>Source:</td><td>social networks, 53, 148-158</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.socnet.2017.03.003	0.7134	-0.1074	9	8	101	4.3371	2018	101	4.3371
166	lazega (2012)	"<table><tr><td>Authors:</td><td>lazega, emmanuel; mounier, lise; snijders, tom; tubaro, paola</td></tr><tr><td>Title:</td><td>norms, status and the dynamics of advice networks: a case study</td></tr><tr><td>Source:</td><td>social networks, 34(3), 323-332</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1016/j.socnet.2009.12.001	0.0922	0.3798	24	20	101	1.8364	2012	101	1.8364
167	roth (2010)	"<table><tr><td>Authors:</td><td>roth, camille; cointet, jean-philippe</td></tr><tr><td>Title:</td><td>social and semantic coevolution in knowledge networks</td></tr><tr><td>Source:</td><td>social networks, 32(1), 16-29</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1016/j.socnet.2009.04.005	-0.4792	-0.109	7	18	101	0.5805	2010	101	0.5805
168	schaefer (2010)	"<table><tr><td>Authors:</td><td>schaefer, david r.; light, john m.; fabes, richard a.; hanish, laura d.; martin, carol lynn</td></tr><tr><td>Title:</td><td>fundamental principles of network formation among preschool children</td></tr><tr><td>Source:</td><td>social networks, 32(1), 61-71</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1016/j.socnet.2009.04.003	0.1744	0.3095	4	25	101	0.5805	2010	101	0.5805
169	preciado (2012)	"<table><tr><td>Authors:</td><td>preciado, paulina; snijders, tom a. b.; burk, william j.; stattin, hakan; kerr, margaret</td></tr><tr><td>Title:</td><td>does proximity matter? distance dependence of adolescent friendships</td></tr><tr><td>Source:</td><td>social networks, 34(1), 18-31</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1016/j.socnet.2011.01.002	0.5254	0.1694	2	5	100	1.8182	2012	100	1.8182
170	baerveldt (2004)	"<table><tr><td>Authors:</td><td>baerveldt, c; van duijn, maj; vermeij, l; van hemert, da</td></tr><tr><td>Title:</td><td>ethnic boundaries and personal choice. assessing the influence of individual inclinations to choose intra-ethnic relationships on pupils' networks</td></tr><tr><td>Source:</td><td>social networks, 26(1), 55-74</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"	https://doi.org/10.1016/j.socnet.2004.01.003	0.2817	0.613	4	12	100	1.8765	2004	100	1.8765
171	everett (2014)	"<table><tr><td>Authors:</td><td>everett, martin g.; borgatti, stephen p.</td></tr><tr><td>Title:</td><td>networks containing negative ties</td></tr><tr><td>Source:</td><td>social networks, 38, 111-120</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1016/j.socnet.2014.03.005	-0.1924	0.5499	19	28	99	2.0102	2014	99	2.0102
172	mollenhorst (2014)	"<table><tr><td>Authors:</td><td>mollenhorst, gerald; volker, beate; flap, henk</td></tr><tr><td>Title:</td><td>changes in personal relationships: how social contexts affect the emergence and discontinuation of relationships</td></tr><tr><td>Source:</td><td>social networks, 37, 65-80</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1016/j.socnet.2013.12.003	1.0021	-0.0424	2	35	99	2.0102	2014	99	2.0102
173	huitsing (2012b)	"<table><tr><td>Authors:</td><td>huitsing, gijs; van duijn, marijtje a. j.; snijders, tom a. b.; wang, peng; sainio, miia; salmivalli, christina; veenstra, rene</td></tr><tr><td>Title:</td><td>univariate and multivariate models of positive and negative networks: liking, disliking, and bully-victim relationships</td></tr><tr><td>Source:</td><td>social networks, 34(4), 645-657</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1016/j.socnet.2012.08.001	-0.0656	0.5794	4	34	99	1.8	2012	99	1.8
174	brewer (1999)	"<table><tr><td>Authors:</td><td>brewer, dd; webster, cm</td></tr><tr><td>Title:</td><td>forgetting of friends and its effects on measuring friendship networks</td></tr><tr><td>Source:</td><td>social networks, 21(4), 361-373</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"	https://doi.org/10.1016/s0378-8733(99)00018-0	0.3892	-0.4863	5	30	99	0.7639	1999	99	0.7639
175	bonacich (1991)	"<table><tr><td>Authors:</td><td>bonacich, p</td></tr><tr><td>Title:</td><td>simultaneous group and individual centralities</td></tr><tr><td>Source:</td><td>social networks, 13(2), 155-168</td></tr><tr><td>Year:</td><td>1991</td></tr></table>"	https://doi.org/10.1016/0378-8733(91)90018-o	-0.9453	0.176	6	14	99	0.9748	1991	99	0.9748
176	ellwardt (2012b)	"<table><tr><td>Authors:</td><td>ellwardt, lea; steglich, christian; wittek, rafael</td></tr><tr><td>Title:</td><td>the co-evolution of gossip and friendship in workplace social networks</td></tr><tr><td>Source:</td><td>social networks, 34(4), 623-633</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1016/j.socnet.2012.07.002	0.2238	0.1968	4	12	98	1.7818	2012	98	1.7818
177	smith (2017)	"<table><tr><td>Authors:</td><td>smith, jeffrey a.; moody, james; morgan, jonathan h.</td></tr><tr><td>Title:</td><td>network sampling coverage ii: the effect of non-random missing data on network measurement</td></tr><tr><td>Source:</td><td>social networks, 48, 78-99</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1016/j.socnet.2016.04.005	-0.0054	-0.0981	14	34	97	3.6616	2017	97	3.6616
178	schnettler (2009a)	"<table><tr><td>Authors:</td><td>schnettler, sebastian</td></tr><tr><td>Title:</td><td>a structured overview of 50 years of small-world research</td></tr><tr><td>Source:</td><td>social networks, 31(3), 165-178</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1016/j.socnet.2008.12.004	0.5253	-0.641	12	15	97	0.992	2009	97	0.992
179	lazega (1997)	"<table><tr><td>Authors:</td><td>lazega, e; vanduijn, m</td></tr><tr><td>Title:</td><td>position in formal structure, personal characteristics and choices of advisors in a law firm: a logistic regression model for dyadic network data</td></tr><tr><td>Source:</td><td>social networks, 19(4), 375-397</td></tr><tr><td>Year:</td><td>1997</td></tr></table>"	https://doi.org/10.1016/s0378-8733(97)00006-3	-0.1667	0.038	15	17	96	0.9238	1997	96	0.9238
180	curtis (1995)	"<table><tr><td>Authors:</td><td>curtis, r; friedman, sr; neaigus, a; jose, b; goldstein, m; ildefonso, g</td></tr><tr><td>Title:</td><td>street-level drug markets - network structure and hiv risk</td></tr><tr><td>Source:</td><td>social networks, 17(3-4), 229-249</td></tr><tr><td>Year:</td><td>1995</td></tr></table>"	https://doi.org/10.1016/0378-8733(95)00264-o	0.2078	-0.5379	9	5	96	1.3574	1995	96	1.3574
181	mizruchi (1993)	"<table><tr><td>Authors:</td><td>mizruchi, ms</td></tr><tr><td>Title:</td><td>cohesion, equivalence, and similarity of behavior - a theoretical and empirical-assessment</td></tr><tr><td>Source:</td><td>social networks, 15(3), 275-307</td></tr><tr><td>Year:</td><td>1993</td></tr></table>"	https://doi.org/10.1016/0378-8733(93)90009-a	-0.7379	-0.578	1	20	96	2.1793	1993	96	2.1793
182	killworth (1978)	"<table><tr><td>Authors:</td><td>killworth, pd; bernard, hr</td></tr><tr><td>Title:</td><td>reversal small-world experiment</td></tr><tr><td>Source:</td><td>social networks, 1(2), 159-192</td></tr><tr><td>Year:</td><td>1978</td></tr></table>"	https://doi.org/10.1016/0378-8733(78)90018-7	0.4581	-0.5878	12	19	96	0.911	1978	96	0.911
183	mac carron (2016)	"<table><tr><td>Authors:</td><td>mac carron, p.; kaski, k.; dunbar, r.</td></tr><tr><td>Title:</td><td>calling dunbar's numbers</td></tr><tr><td>Source:</td><td>social networks, 47, 151-155</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1016/j.socnet.2016.06.003	0.436	0.2769	3	5	95	3.1892	2016	95	3.1892
184	marin (2012)	"<table><tr><td>Authors:</td><td>marin, alexandra</td></tr><tr><td>Title:</td><td>don't mention it: why people don't share job information, when they do, and why it matters</td></tr><tr><td>Source:</td><td>social networks, 34(2), 181-192</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1016/j.socnet.2011.11.002	0.7456	0.2353	3	6	95	1.7273	2012	95	1.7273
185	daraganova (2012)	"<table><tr><td>Authors:</td><td>daraganova, galina; pattison, pip; koskinen, johan; mitchell, bill; bill, anthea; watts, martin; baum, scott</td></tr><tr><td>Title:</td><td>networks and geography: modelling community network structures as the outcome of both spatial and network processes</td></tr><tr><td>Source:</td><td>social networks, 34(1), 6-17</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1016/j.socnet.2010.12.001	0.3374	0.0697	2	10	95	1.7273	2012	95	1.7273
186	marsden (2003)	"<table><tr><td>Authors:</td><td>marsden, pv</td></tr><tr><td>Title:</td><td>interviewer effects in measuring network size using a single name generator</td></tr><tr><td>Source:</td><td>social networks, 25(1), 1-16</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"	https://doi.org/10.1016/s0378-8733(02)00009-6	0.8041	-0.3232	5	26	95	0.4726	2003	95	0.4726
187	buskens (1998)	"<table><tr><td>Authors:</td><td>buskens, v</td></tr><tr><td>Title:</td><td>the social structure of trust</td></tr><tr><td>Source:</td><td>social networks, 20(3), 265-289</td></tr><tr><td>Year:</td><td>1998</td></tr></table>"	https://doi.org/10.1016/s0378-8733(98)00005-7	-0.6287	0.1908	15	17	94	1.5679	1998	94	1.5679
188	bell (2007)	"<table><tr><td>Authors:</td><td>bell, david c.; belli-mcqueen, benedetta; haider, ali</td></tr><tr><td>Title:</td><td>partner naming and forgetting: recall of network members</td></tr><tr><td>Source:</td><td>social networks, 29(2), 279-299</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	https://doi.org/10.1016/j.socnet.2006.12.004	0.605	-0.5161	5	39	93	0.8232	2007	93	0.8232
189	leszczensky (2015)	"<table><tr><td>Authors:</td><td>leszczensky, lars; pink, sebastian</td></tr><tr><td>Title:</td><td>ethnic segregation of friendship networks in school: testing a rational-choice argument of differences in ethnic homophily between classroom- and grade-level networks</td></tr><tr><td>Source:</td><td>social networks, 42, 18-26</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1016/j.socnet.2015.02.002	0.3491	0.6704	4	21	92	2.3439	2015	92	2.3439
190	krackhardt (2002)	"<table><tr><td>Authors:</td><td>krackhardt, d; kilduff, m</td></tr><tr><td>Title:</td><td>structure, culture and simmelian ties in entrepreneurial firms</td></tr><tr><td>Source:</td><td>social networks, 24(3), 279-290</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"	https://doi.org/10.1016/s0378-8733(02)00008-4	0.2023	0.5021	3	7	92	1.3266	2002	92	1.3266
191	suitor (1997a)	"<table><tr><td>Authors:</td><td>suitor, j; keeton, s</td></tr><tr><td>Title:</td><td>once a friend, always a friend? effects of homophily on women's support networks across a decade</td></tr><tr><td>Source:</td><td>social networks, 19(1), 51-62</td></tr><tr><td>Year:</td><td>1997</td></tr></table>"	https://doi.org/10.1016/s0378-8733(96)00290-0	0.8188	-0.1706	2	16	92	0.8854	1997	92	0.8854
192	faust (2010)	"<table><tr><td>Authors:</td><td>faust, katherine</td></tr><tr><td>Title:</td><td>a puzzle concerning triads in social networks: graph constraints and the triad census</td></tr><tr><td>Source:</td><td>social networks, 32(3), 221-233</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1016/j.socnet.2010.03.004	-0.135	0.2154	7	18	91	0.523	2010	91	0.523
193	lubbers (2007)	"<table><tr><td>Authors:</td><td>lubbers, miranda j.; snijders, tom a. b.</td></tr><tr><td>Title:</td><td>a comparison of various approaches to the exponential random graph model: a reanalysis of 102 student networks in school classes</td></tr><tr><td>Source:</td><td>social networks, 29(4), 489-507</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	https://doi.org/10.1016/j.socnet.2007.03.002	0.058	0.5177	4	27	91	0.8055	2007	91	0.8055
194	burt (2015)	"<table><tr><td>Authors:</td><td>burt, ronald s.</td></tr><tr><td>Title:</td><td>reinforced structural holes</td></tr><tr><td>Source:</td><td>social networks, 43, 149-161</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1016/j.socnet.2015.04.008	-0.083	-0.0818	26	6	90	2.293	2015	90	2.293
195	hipp (2012)	"<table><tr><td>Authors:</td><td>hipp, john r.; faris, robert w.; boessen, adam</td></tr><tr><td>Title:</td><td>measuring 'neighborhood': constructing network neighborhoods</td></tr><tr><td>Source:</td><td>social networks, 34(1), 128-140</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1016/j.socnet.2011.05.002	-0.296	-0.0149	8	2	90	1.6364	2012	90	1.6364
196	noel (2011)	"<table><tr><td>Authors:</td><td>noel, hans; nyhan, brendan</td></tr><tr><td>Title:</td><td>the ""unfriending"" problem: the consequences of homophily in friendship retention for causal estimates of social influence</td></tr><tr><td>Source:</td><td>social networks, 33(3), 211-218</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/10.1016/j.socnet.2011.05.003	0.6925	0.2402	15	8	90	2.1176	2011	90	2.1176
197	fu (2005)	"<table><tr><td>Authors:</td><td>fu, yc</td></tr><tr><td>Title:</td><td>measuring personal networks with daily contacts: a single-item survey question and the contact diary</td></tr><tr><td>Source:</td><td>social networks, 27(3), 169-186</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	https://doi.org/10.1016/j.socnet.2005.01.008	0.9674	-0.4197	12	23	90	0.3859	2005	90	0.3859
198	bienenstock (1992)	"<table><tr><td>Authors:</td><td>bienenstock, ej; bonacich, p</td></tr><tr><td>Title:</td><td>the core as a solution to exclusionary networks</td></tr><tr><td>Source:</td><td>social networks, 14(3-4), 231-243</td></tr><tr><td>Year:</td><td>1992</td></tr></table>"	https://doi.org/10.1016/0378-8733(92)90003-p	-0.8005	0.6774	20	15	90	1.9245	1992	90	1.9245
199	fischer (2005)	"<table><tr><td>Authors:</td><td>fischer, cs</td></tr><tr><td>Title:</td><td>bowling alone: what's the score?</td></tr><tr><td>Source:</td><td>social networks, 27(2), 155-167</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	https://doi.org/10.1016/j.socnet.2005.01.009	1.0538	-0.0589	17	2	89	0.3816	2005	89	0.3816
200	faust (1992a)	"<table><tr><td>Authors:</td><td>faust, k; wasserman, s</td></tr><tr><td>Title:</td><td>blockmodels - interpretation and evaluation</td></tr><tr><td>Source:</td><td>social networks, 14(1-2), 5-61</td></tr><tr><td>Year:</td><td>1992</td></tr></table>"	https://doi.org/10.1016/0378-8733(92)90013-w	-0.936	-0.5463	1	22	89	1.9031	1992	89	1.9031
201	totterdell (2008)	"<table><tr><td>Authors:</td><td>totterdell, peter; holman, david; hukin, amy</td></tr><tr><td>Title:</td><td>social networkers: measuring and examining individual differences in propensity to connect with others</td></tr><tr><td>Source:</td><td>social networks, 30(4), 283-296</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"	https://doi.org/10.1016/j.socnet.2008.04.003	0.5512	0.2193	3	14	87	0.9764	2008	87	0.9764
202	kadushin (2002)	"<table><tr><td>Authors:</td><td>kadushin, c</td></tr><tr><td>Title:</td><td>the motivational foundation of social networks</td></tr><tr><td>Source:</td><td>social networks, 24(1), 77-91</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"	https://doi.org/10.1016/s0378-8733(01)00052-1	0.7268	0.1817	2	14	87	1.2545	2002	87	1.2545
203	smith (2014a)	"<table><tr><td>Authors:</td><td>smith, sanne; maas, ineke; van tubergen, frank</td></tr><tr><td>Title:</td><td>ethnic ingroup friendships in schools: testing the by-product hypothesis in england, germany, the netherlands and sweden</td></tr><tr><td>Source:</td><td>social networks, 39, 33-45</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1016/j.socnet.2014.04.003	0.3504	0.8524	4	12	86	1.7462	2014	86	1.7462
204	borgatti (2005b)	"<table><tr><td>Authors:</td><td>borgatti, sp; molina, j</td></tr><tr><td>Title:</td><td>toward ethical guidelines for network research in organizations</td></tr><tr><td>Source:</td><td>social networks, 27(2), 107-117</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	https://doi.org/10.1016/j.socnet.2005.01.004	0.563	-0.1717	9	13	86	0.3688	2005	86	0.3688
205	rothenberg (1995)	"<table><tr><td>Authors:</td><td>rothenberg, rb; potterat, jj; woodhouse, de; darrow, ww; muth, sq; klovdahl, as</td></tr><tr><td>Title:</td><td>choosing a centrality measure - epidemiologic correlates in the colorado-springs study of social networks</td></tr><tr><td>Source:</td><td>social networks, 17(3-4), 273-297</td></tr><tr><td>Year:</td><td>1995</td></tr></table>"	https://doi.org/10.1016/0378-8733(95)00267-r	-0.1061	-0.3315	9	9	86	1.216	1995	86	1.216
206	bilecen (2018a)	"<table><tr><td>Authors:</td><td>bilecen, basak; gamper, markus; lubbers, miranda j.</td></tr><tr><td>Title:</td><td>the missing link: social network analysis in migration and transnationalism</td></tr><tr><td>Source:</td><td>social networks, 53, 1-3</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.socnet.2017.07.001	0.8881	0.2015	22	15	85	3.65	2018	85	3.65
207	lindelauf (2009)	"<table><tr><td>Authors:</td><td>lindelauf, roy; borm, peter; hamers, herbert</td></tr><tr><td>Title:</td><td>the influence of secrecy on the communication structure of covert networks</td></tr><tr><td>Source:</td><td>social networks, 31(2), 126-137</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1016/j.socnet.2008.12.003	-0.5101	0.3566	8	8	85	0.8693	2009	85	0.8693
208	anderson (1992)	"<table><tr><td>Authors:</td><td>anderson, cj; wasserman, s; faust, k</td></tr><tr><td>Title:</td><td>building stochastic blockmodels</td></tr><tr><td>Source:</td><td>social networks, 14(1-2), 137-161</td></tr><tr><td>Year:</td><td>1992</td></tr></table>"	https://doi.org/10.1016/0378-8733(92)90017-2	-0.6824	-0.1093	1	12	85	1.8176	1992	85	1.8176
209	kirke (2004)	"<table><tr><td>Authors:</td><td>kirke, dm</td></tr><tr><td>Title:</td><td>chain reactions in adolescents' cigarette, alcohol and drug use: similarity through peer influence or the patterning of ties in peer networks?</td></tr><tr><td>Source:</td><td>social networks, 26(1), 3-28</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"	https://doi.org/10.1016/j.socnet.2003.12.001	0.2099	-0.3453	9	7	84	1.5762	2004	84	1.5762
210	borgatti (1990)	"<table><tr><td>Authors:</td><td>borgatti, sp; everett, mg; shirey, pr</td></tr><tr><td>Title:</td><td>ls sets, lambda sets and other cohesive subsets</td></tr><tr><td>Source:</td><td>social networks, 12(4), 337-357</td></tr><tr><td>Year:</td><td>1990</td></tr></table>"	https://doi.org/10.1016/0378-8733(90)90014-z	-0.3772	-0.3169	7	13	84	2.2161	1990	84	2.2161
211	wasserman (1987)	"<table><tr><td>Authors:</td><td>wasserman, s; anderson, c</td></tr><tr><td>Title:</td><td>stochastic a posteriori blockmodels - construction and assessment</td></tr><tr><td>Source:</td><td>social networks, 9(1), 1-36</td></tr><tr><td>Year:</td><td>1987</td></tr></table>"	https://doi.org/10.1016/0378-8733(87)90015-3	-0.9661	-0.6524	1	25	84	1.1455	1987	84	1.1455
212	bojanowski (2014)	"<table><tr><td>Authors:</td><td>bojanowski, michal; corten, rense</td></tr><tr><td>Title:</td><td>measuring segregation in social networks</td></tr><tr><td>Source:</td><td>social networks, 39, 14-32</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1016/j.socnet.2014.04.001	-0.067	0.1056	1	11	83	1.6853	2014	83	1.6853
213	poulin (2000)	"<table><tr><td>Authors:</td><td>poulin, r; boily, mc; mâsse, br</td></tr><tr><td>Title:</td><td>dynamical systems to define centrality in social networks</td></tr><tr><td>Source:</td><td>social networks, 22(3), 187-220</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"	https://doi.org/10.1016/s0378-8733(00)00020-4	-0.4247	-0.2325	9	7	83	0.9857	2000	83	0.9857
214	lu (2013a)	"<table><tr><td>Authors:</td><td>lu, yao; ruan, danching; lai, gina</td></tr><tr><td>Title:</td><td>social capital and economic integration of migrants in urban china</td></tr><tr><td>Source:</td><td>social networks, 35(3), 357-369</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1016/j.socnet.2013.04.001	0.9985	0.3442	3	6	81	1.5637	2013	81	1.5637
215	doreian (2012)	"<table><tr><td>Authors:</td><td>doreian, patrick; conti, norman</td></tr><tr><td>Title:</td><td>social context, spatial structure and social network structure</td></tr><tr><td>Source:</td><td>social networks, 34(1), 32-46</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1016/j.socnet.2010.09.002	0.6295	0.4741	24	15	81	1.4727	2012	81	1.4727
216	hummon (1993)	"<table><tr><td>Authors:</td><td>hummon, np; carley, k</td></tr><tr><td>Title:</td><td>social networks as normal science</td></tr><tr><td>Source:</td><td>social networks, 15(1), 71-106</td></tr><tr><td>Year:</td><td>1993</td></tr></table>"	https://doi.org/10.1016/0378-8733(93)90022-d	-0.7303	-0.6129	1	9	80	1.8161	1993	80	1.8161
217	merluzzi (2013)	"<table><tr><td>Authors:</td><td>merluzzi, jennifer; burt, ronald s.</td></tr><tr><td>Title:</td><td>how many names are enough? identifying network effects with the least set of listed contacts</td></tr><tr><td>Source:</td><td>social networks, 35(3), 331-337</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1016/j.socnet.2013.03.004	0.6973	-0.5125	5	17	79	1.5251	2013	79	1.5251
218	koskinen (2012)	"<table><tr><td>Authors:</td><td>koskinen, johan; edling, christofer</td></tr><tr><td>Title:</td><td>modelling the evolution of a bipartite network-peer referral in interlocking directorates</td></tr><tr><td>Source:</td><td>social networks, 34(3), 309-322</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1016/j.socnet.2010.03.001	-0.3609	0.2619	4	23	79	1.4364	2012	79	1.4364
219	stephen (2009)	"<table><tr><td>Authors:</td><td>stephen, andrew t.; toubia, olivier</td></tr><tr><td>Title:</td><td>explaining the power-law degree distribution in a social commerce network</td></tr><tr><td>Source:</td><td>social networks, 31(4), 262-270</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1016/j.socnet.2009.07.002	-0.2421	0.6599	8	2	79	0.808	2009	79	0.808
220	degenne (2005)	"<table><tr><td>Authors:</td><td>degenne, a; lebeaux, mo</td></tr><tr><td>Title:</td><td>the dynamics of personal networks at the time of entry into adult life</td></tr><tr><td>Source:</td><td>social networks, 27(4), 337-358</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	https://doi.org/10.1016/j.socnet.2004.11.002	1.0578	-0.0306	2	18	79	0.3388	2005	79	0.3388
221	straits (2000)	"<table><tr><td>Authors:</td><td>straits, bc</td></tr><tr><td>Title:</td><td>ego's important discussants or significant people: an experiment in varying the wording of personal network name generators</td></tr><tr><td>Source:</td><td>social networks, 22(2), 123-140</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"	https://doi.org/10.1016/s0378-8733(00)00018-6	0.8453	-0.3206	5	23	79	0.9382	2000	79	0.9382
222	mcmillan (2018)	"<table><tr><td>Authors:</td><td>mcmillan, cassie; felmlee, diane; osgood, d. wayne</td></tr><tr><td>Title:</td><td>peer influence, friend selection, and gender: how network processes shape adolescent smoking, drinking, and delinquency</td></tr><tr><td>Source:</td><td>social networks, 55, 86-96</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.socnet.2018.05.008	0.0786	0.3347	4	14	78	3.3495	2018	78	3.3495
223	shi (2015)	"<table><tr><td>Authors:</td><td>shi, feng; foster, jacob g.; evans, james a.</td></tr><tr><td>Title:</td><td>weaving the fabric of science: dynamic network models of science's unfolding structure</td></tr><tr><td>Source:</td><td>social networks, 43, 73-85</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1016/j.socnet.2015.02.006	-0.434	0.1035	13	10	78	1.9873	2015	78	1.9873
224	fischer (1995)	"<table><tr><td>Authors:</td><td>fischer, cs; shavit, y</td></tr><tr><td>Title:</td><td>national differences in network density - israel and the united-states</td></tr><tr><td>Source:</td><td>social networks, 17(2), 129-145</td></tr><tr><td>Year:</td><td>1995</td></tr></table>"	https://doi.org/10.1016/0378-8733(94)00251-5	1.1048	-0.1171	2	9	78	1.1029	1995	78	1.1029
225	breiger (1986)	"<table><tr><td>Authors:</td><td>breiger, rl; pattison, pe</td></tr><tr><td>Title:</td><td>cumulated social roles - the duality of persons and their algebras</td></tr><tr><td>Source:</td><td>social networks, 8(3), 215-256</td></tr><tr><td>Year:</td><td>1986</td></tr></table>"	https://doi.org/10.1016/0378-8733(86)90006-7	-0.8775	0.0222	10	24	78	1.0858	1986	78	1.0858
226	killworth (1979)	"<table><tr><td>Authors:</td><td>killworth, pd; bernard, hr</td></tr><tr><td>Title:</td><td>informant accuracy in social network data-iii - comparison of triadic structure in behavioral and cognitive data</td></tr><tr><td>Source:</td><td>social networks, 2(1), 19-46</td></tr><tr><td>Year:</td><td>1979</td></tr></table>"	https://doi.org/10.1016/0378-8733(79)90009-1	0.0827	-0.4751	11	24	78	0.1186	1979	78	0.1186
