Funding Agencies                             	   Record Count	         % of 547
NATIONAL INSTITUTES OF HEALTH INTRAMURAL RESE	              1	     0.183
ARCH PROGRAM OF THE NATIONAL INSTITUTE OF MENTAL HEALTH	               	          
NATIONAL INSTITUTES OF HEALTH NIH USA        	             17	     3.108
NATIONAL KEY RESEARCH DEVELOPMENT PROGRAM OF 	              4	     0.731
CHINA                                        	               	          
NATIONAL LABORATORY FOR HEALTH SECURITY ALFRE	              1	     0.183
D RENYI INSTITUTE                            	               	          
NATIONAL NATURAL SCIENCE FOUNDATION OF CHINA 	             20	     3.656
NSFC                                         	               	          
NATIONAL NATURAL SCIENCE FOUNDATION OF GUANGD	              1	     0.183
ONG PROVINCIAL GOVERNMENT                    	               	          
NATIONAL NUCLEAR SECURITY ADMINISTRATION     	              2	     0.366
NATIONAL POST DOCTORAL FELLOWSHIP NPDF OF DST	              1	     0.183
SERB INDIA                                   	               	          
NATIONAL RESEARCH DEVELOPMENT INNOVATION OFFI	              4	     0.731
CE NRDIO HUNGARY                             	               	          
NATIONAL RESEARCH FOUNDATION OF KOREA        	              5	     0.914
NATIONAL RESEARCH FOUNDATION SINGAPORE       	              1	     0.183
NATIONAL RESEARCH PROJECT PNR CRISIS LAB     	              1	     0.183
NATIONAL SCIENCE CENTRE POLAND               	              1	     0.183
NATIONAL SCIENCE FOUNDATION CENTER FOR SCIENC	              1	     0.183
E OF INFORMATION STC                         	               	          
NATIONAL SCIENCE FOUNDATION NSF              	             55	    10.055
NATIONAL SOCIALSCIENCE FUND OF CHINA         	              1	     0.183
NATIONAL UNIVERSITY OF COMAHUE               	              1	     0.183
NATIONAL UNIVERSITY OF LA PLATA              	              1	     0.183
NATURAL ENVIRONMENT RESEARCH COUNCIL NERC    	              1	     0.183
NATURAL SCIENCE FOUNDATION OF JIANGSU PROVINC	              2	     0.366
E                                            	               	          
NATURAL SCIENCES AND ENGINEERING RESEARCH COU	              8	     1.463
NCIL OF CANADA NSERC                         	               	          
NETHERLANDS GOVERNMENT                       	              1	     0.183
NETHERLANDS ORGANIZATION FOR SCIENTIFIC RESEA	              6	     1.097
RCH NWO                                      	               	          
NETSEED SEEDLING RESEARCH AWARD OF THE NETWOR	              1	     0.183
K SCIENCE INSTITUTE OF NORTHEASTERN UNIVERSITY	               	          
NEW COLLEGE UNDERGRADUATE INQUIRY AND RESEARC	              1	     0.183
H EXPERIENCES NCUIRE FELLOWSHIP FROM THE NEW COLLEGE OF INTERDISCIPLINARY ARTS AND SCIENCES AT ARIZONA STATE UNIVERSITY	               	          
NEW PALTZ FOUNDATION                         	              1	     0.183
NEWTON FUND THE ACADEMY OF MEDICAL SCIENCES  	              1	     0.183
NIH EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE	              6	     1.097
OF CHILD HEALTH HUMAN DEVELOPMENT NICHD      	               	          
NIH FOGARTY INTERNATIONAL CENTER FIC         	              1	     0.183
NIH NATIONAL INSTITUTE OF GENERAL MEDICAL SCI	              1	     0.183
ENCES NIGMS                                  	               	          
NIH NATIONAL INSTITUTE OF MENTAL HEALTH NIMH 	              3	     0.548
NIH NATIONAL INSTITUTE ON AGING NIA          	              1	     0.183
NIILO HELANDER S FOUNDATION                  	              2	     0.366
NORTHEASTERN UNIVERSITY                      	              1	     0.183
NORTHWESTERN INSTITUTE ON COMPLEX SYSTEMS NIC	              1	     0.183
O                                            	               	          
NORWEGIAN AGENCY FOR DEVELOPMENT COOPERATION 	              1	     0.183
NORAD                                        	               	          
NORWEGIAN INSTITUTE FOR NATURE RESEARCH RESEA	              1	     0.183
RCH COUNCIL OF NORWAY                        	               	          
NOTTINGHAM TRENT UNIVERSITY                  	              1	     0.183
NSF AS PART OF THE JOINT NSF NIH USDA ECOLOGY	              1	     0.183
AND EVOLUTION OF INFECTIOUS DISEASES PROGRAM 	               	          
NSF DIRECTORATE FOR BIOLOGICAL SCIENCES BIO  	              1	     0.183
NSF DIRECTORATE FOR COMPUTER INFORMATION SCIE	              4	     0.731
NCE ENGINEERING CISE                         	               	          
NSF DIRECTORATE FOR ENGINEERING ENG          	              2	     0.366
NSF DIRECTORATE FOR MATHEMATICAL PHYSICAL SCI	             10	     1.828
ENCES MPS                                    	               	          
NSF DIRECTORATE FOR SOCIAL BEHAVIORAL ECONOMI	              4	     0.731
C SCIENCES SBE                               	               	          
NSF DIRECTORATE FOR STEM EDUCATION EDU       	              2	     0.366
NSF DIVISION OF INFORMATION INTELLIGENT SYSTE	              1	     0.183
MS IIS                                       	               	          
NSF DIVISION OF INTEGRATIVE ORGANISMAL SYSTEM	              1	     0.183
S IOS                                        	               	          
NSF IIS GRANT                                	              1	     0.183
NSF OFFICE OF THE DIRECTOR OD                	              1	     0.183
NWO GRAVITATION NETWORKS                     	              1	     0.183
OFFICE OF NAVAL RESEARCH                     	              5	     0.914
OFFICE OF THE DEPUTY VICE CHANCELLOR FOR RESE	              1	     0.183
ARCH AND GRADUATE STUDIES NATIONAL RESEARCH FOUNDATION UNITED ARAB EMIRATES UNIVERSITY UAEU HROUGH THE GRANT 3MOONS MODULAR MULTISCALE MULTIOMIC ONCOLOGY NETWORKS	               	          
ONTARIO RESEARCH FUND                        	              1	     0.183
ORANGE                                       	              1	     0.183
ORISE FELLOWSHIP AT THE FOOD AND DRUG ADMINIS	              1	     0.183
TRATION                                      	               	          
ORSZAGOS TUDOMANYOS KUTATASI ALAPPROGRAMOK OT	              3	     0.548
KA                                           	               	          
OVERSEAS VISITING FELLOW PROGRAM             	              1	     0.183
PASPA                                        	              1	     0.183
PATAGONA TECHNOLOGIES THROUGH CANADIAN DEPART	              1	     0.183
MENT OF NATIONAL DEFENSE PROJECT ON DETECTING AND RESPONDING TO HOSTILE INFORMATION ACTIVITIES UNSUPERVISED METHODS FOR MEASURING THE QUALITY OF GRAPH EMBEDDINGS	               	          
PAUL G ALLEN FOUNDATION                      	              1	     0.183
PENNSYLVANIA STATE UNIVERSITY CENTER FOR POLL	              1	     0.183
INATOR RESEARCH                              	               	          
PEW LATIN AMERICAN FELLOWSHIP                	              1	     0.183
PHS GRANT                                    	              1	     0.183
PIA                                          	              1	     0.183
POLISH NATIONAL SCIENCE CENTER               	              1	     0.183
PRIORITY ACADEMIC PROGRAM DEVELOPMENT PAPD OF	              1	     0.183
JIANGSU HIGHER EDUCATION INSTITUTIONS        	               	          
PROGRAM OF SONG SHAN LABORATORY INCLUDED IN T	              1	     0.183
HE MANAGEMENT OF MAJOR SCIENCE AND TECHNOLOGY PROGRAM OF HENAN PROVINCE	               	          
PROGRAMME ARC 5 OF THE REGION RHONE ALPES    	              1	     0.183
PROGRAMME ARC 6 OF THE REGION RHONE ALPES    	              1	     0.183
PROJECT 5 100 MINISTRY OF EDUCATION AND SCIEN	              1	     0.183
CE RUSSIAN FEDERATION                        	               	          
PROJECT FIR OF THE UNIVERSITY OF CATANIA     	              1	     0.183
PROJECT OF NEW ERA EDUCATION QUALITY ENGINEER	              1	     0.183
ING GRADUATE EDUCATION OF ANHUI PROVINCE     	               	          
PROJECT OF SOCIAL SCIENCE INNOVATION AND DEVE	              1	     0.183
LOPMENT RESEARCH OF ANHUI PROVINCE           	               	          
PROVIDED BY THE PACIFIC NORTHWEST NATIONAL LA	              1	     0.183
BORATORIES PNNL NATIONAL SECURITY DIRECTORATE MISSION SEED LABORATORY DIRECTED RESEARCH AND DEVELOPMENT LDRD PROGRAM	               	          
R P GRANT IIM AHMEDABAD                      	              1	     0.183
RAGNAR SOEDERBERG FOUNDATION                 	              1	     0.183
RAND                                         	              1	     0.183
RAPIDD PROGRAM OF THE SCIENCE AND TECHNOLOGY 	              1	     0.183
DIRECTORATE DEPARTMENT OF HOMELAND SECURITY  	               	          
RECTORS CONFERENCE OF THE SWISS UNIVERSITIES 	              1	     0.183
RESEARCH COUNCIL OF FINLAND                  	              4	     0.731
RESEARCH COUNCIL OF LITHUANIA LMTLT          	              1	     0.183
RESEARCH OFFICE AT UNIVERSIDAD DE LOS ANDES F	              1	     0.183
APA GRANT                                    	               	          
RESEARCH PROJECT STOCHASTIC AND STATISTICAL M	              1	     0.183
ODELS AND METHODS FOR THE APPLICATIONS UNIVERSITY OF TORINO	               	          
RESEARCH PROJECT THE INTERNATIONAL TRADE NETW	              1	     0.183
ORK EMPIRICAL ANALYSES AND THEORETICAL MODELS ITALIAN MINISTRY OF EDUCATION UNIVERSITY AND RESEARCH SCIENTIFIC RESEARCH PROGRAMS OF NATIONAL RELEVANCE	               	          
RESEARCH SUPPORT FOUNDATION OF THE STATE OF B	              1	     0.183
AHIA FAPESB                                  	               	          
RILTUS PROJECT                               	              1	     0.183
ROYAL COMMISSION FOR THE EXHIBITION OF 1851  	              1	     0.183
ROYAL SOCIETY                                	              4	     0.731
ROYAL SOCIETY OF NEW ZEALAND                 	              1	     0.183
ROYAL SOCIEY WOLFSON RESEARCH MERIT AWARD    	              1	     0.183
RUSSIAN FOUNDATION FOR BASIC RESEARCH RFBR   	              6	     1.097
RUSSIAN SCIENCE FOUNDATION RSF               	              3	     0.548
RUTHERFORD FOUNDATION VISITING FELLOWSHIP AT 	              1	     0.183
THE ALAN TURING INSTITUTE UK                 	               	          
SAGE CENTER FOR THE STUDY OF THE MIND INSTITU	              1	     0.183
TE FOR COLLABORATIVE BIOTECHNOLOGIES FROM THE US ARMY RESEARCH OFFICE	               	          
SCIENCE AND ENGINEERING RESEARCH BOARD DEPART	              1	     0.183
MENT OF SCIENCE AND TECHNOLOGY GOVERNMENT OF INDIA	               	          
SCIENCE AND ENGINEERING RESEARCH BOARD SERB D	              1	     0.183
ST GOVERNMENT OF INDIA UNDER MATRICS PROJECT 	               	          
SCIENCE AND TECHNOLOGY INNOVATION PROGRAM OF 	              1	     0.183
HUNAN PROVINCE                               	               	          
SCIENCE AND TECHNOLOGY INNOVATION PROJECTS OF	              1	     0.183
UNIVERSITIES IN SHANXI PROVINCE              	               	          
SCIENCE FOUNDATION IRELAND SFI               	              7	     1.280
SCIENTIFIC RESEARCH FUND OF ZHEJIANG PROVINCI	              1	     0.183
AL EDUCATION DEPARTMENT                      	               	          
SCIENTIFIC RESEARCH PROJECT OF HUNAN PROVINCI	              1	     0.183
AL DEPARTMENT OF EDUCATION                   	               	          
SHAANXI PROVINCIAL NATURAL SCIENCE FOUNDATION	              1	     0.183
PROJECT                                      	               	          
SHANGHAI OUTSTANDING ACADEMIC LEADERS PLAN   	              1	     0.183
SHANGHAI OUTSTANDING ACADEMICLEADERS PLAN    	              1	     0.183
SHANGHAI PUJIANG PROGRAM                     	              1	     0.183
SHANNXI PROVINCIAL EDUCATION COMMISSION      	              1	     0.183
SHENZHEN BASIC RESEARCH PROJECT FOR DEVELOPME	              1	     0.183
NT OF SCIENCE AND TECHNOLOGY                 	               	          
SIMON LEE FOUNDATION                         	              1	     0.183
SIMONS FOUNDATION                            	              2	     0.366
SINGAPORE UNIVERSITY OF TECHNOLOGY DESIGN    	              1	     0.183
SLOVENIAN RESEARCH AGENCY SLOVENIA           	              6	     1.097
SNF EARLY POSTDOC MOBILITY FELLOWSHIP ON MULT	              1	     0.183
ISPECIES INTERACTING STOCHASTIC SYSTEMS IN BIOLOGY	               	          
SNIF PROJECT                                 	              1	     0.183
SNII CONAHCYT                                	              1	     0.183
SOBIGDATA                                    	              1	     0.183
SOCIAL MEDIA IN STRATEGIC COMMUNICATION      	              1	     0.183
SPANISH GOVERNMENT                           	             10	     1.828
STATE TASK FOR ICP RAS                       	              1	     0.183
STATEGRA                                     	              1	     0.183
STOCKHOLM COUNTY COUNCIL                     	              1	     0.183
SUNY NEW PALTZ RESEARCH AND CREATIVE PROJECT 	              1	     0.183
AWARDS                                       	               	          
SUNY NEW PALTZ RESEARCH SCHOLARSHIP AND CREAT	              1	     0.183
IVE ACTIVITIES                               	               	          
SUTD MIT POSTDOCTORAL PROGRAMME              	              1	     0.183
SWEDISH RESEARCH COUNCIL                     	              5	     0.914
SWISS NATIONAL SCIENCE FOUNDATION SNSF       	              4	     0.731
SYSTEMS SCIENCE COLLABORATIVE INITIATIVE GRAN	              1	     0.183
T FROM THE NEBRASKA RESEARCH INITIATIVE      	               	          
TARBIAT MODARES UNIVERSITY                   	              1	     0.183
TEKNIIKAN EDISTAMISSAATIO THE FINNISH FOUNDAT	              1	     0.183
ION FOR TECHNOLOGY PROMOTION                 	               	          
TEMPLETON FOUNDATION                         	              1	     0.183
THALES GROUP                                 	              1	     0.183
THE AUTHOR THANKS ANNA KHMELNITSKAYA DMITRY G	              1	     0.183
UBANOV AND KONSTANTIN AVRACHENKOV FOR HELPFUL DISCUSSIONS AND TWO ANONYMOUS REVIEWERS FOR THEIR CAREFUL COMMENTS AND THOUGHTFUL SUGGESTIONS	               	          
THE AUTHORS ACKNOWLEDGE THEIR VALUABLE DISCUS	              1	     0.183
SION ON THIS WORK WITH PROFESSOR R B BAPAT PROFESSOR SANTANU RAY AND PROFESSOR BRIAN FATH THEY ARE ALSO VERY THANKFUL TO THE ANONYMOUS REFEREES FOR THEIR CONSTRUCTIVE SUGGESTIONS WHICH CONSIDERABLY IMPROVED	               	          
THE DAVID LUCILE PACKARD FOUNDATION          	              1	     0.183
THE LABORATORY FOR HYBRID MODELING ACKNOWLEDG	              1	     0.183
ES FUNDING FROM THE BAVARIAN STATE MINISTRY FOR SCIENCE AND ARTS THROUGH GRANT EPILABKI	               	          
THE MINISTRY OF SCIENCE RESEARCH AND THE ARTS	              1	     0.183
OF THE STATE OF BADEN WURTTEMBERG            	               	          
TOR VERGATA UNIVERSITY BEYOND BORDERS PROGRAM	              1	     0.183
THROUGH THE PROJECT ASTRID                   	               	          
TORSTEN SODERBERG FOUNDATION                 	              1	     0.183
TRAINING PROGRAM FOR EXCELLENT YOUNG INNOVATO	              1	     0.183
RS OF CHANGSHA                               	               	          
TRANSFORMATION AND RESILIENCE PLAN FUNDS OF T	              1	     0.183
HE EUROPEAN UNION NEXT GENERATION EU URJC    	               	          
TURKIYE BILIMSEL VE TEKNOLOJIK ARASTIRMA KURU	              5	     0.914
MU TUBITAK                                   	               	          
U K MINISTRY OF DEFENCE                      	              1	     0.183
U S ARMY RESEARCH LAB CYBER SECURITY CRA     	              1	     0.183
U S ARMY RESEARCH OFFICE ARMY RESEARCH LABORA	              1	     0.183
TORY UNDER THE MINERVA RESEARCH INITIATIVE   	               	          
U S ARMY RESEARCH OFFICE UNDER MULTIDISCIPLIN	              1	     0.183
ARY UNIVERSITY RESEARCH INITIATIVE           	               	          
U S DEPARTMENT OF DEFENSE MINERVA            	              1	     0.183
UK NATIONAL QUANTUM TECHNOLOGIES PROGRAMME   	              1	     0.183
UK RESEARCH INNOVATION UKRI                  	             42	     7.678
UNITATEA EXECUTIVA PENTRU FINANTAREA INVATAMA	              2	     0.366
NTULUI SUPERIOR A CERCETARII DEZVOLTARII SI INOVARII UEFISCDI	               	          
UNITED STATES AIR FORCE UNDER AIR FORCE      	              1	     0.183
UNITED STATES DEPARTMENT OF AGRICULTURE NATIO	              1	     0.183
NAL NEEDS PROGRAM                            	               	          
UNITED STATES DEPARTMENT OF DEFENSE          	             30	     5.484
UNITED STATES DEPARTMENT OF ENERGY DOE       	              7	     1.280
UNITED STATES DEPARTMENT OF HEALTH HUMAN SERV	             17	     3.108
ICES                                         	               	          
UNITED STATES NAVY                           	              5	     0.914
UNIVERSIDAD AUTONOMA DE LA CIUDAD DE MEXICO U	              1	     0.183
ACM                                          	               	          
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO      	              1	     0.183
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO PROGR	              1	     0.183
AMA DE APOYO A PROYECTOS DE INVESTIGACION E INNOVACION TECNOLOGICA	               	          
UNIVERSIDAD NACIONAL DE CUYO                 	              1	     0.183
UNIVERSITE DE LYON                           	              2	     0.366
UNIVERSITY AT BUFFALO COMPUTATIONAL AND DATA 	              1	     0.183
ENABLED SCIENCE AND ENGINEERING FELLOWSHIP   	               	          
UNIVERSITY GRANTS COMMISSION INDIA           	              3	     0.548
UNIVERSITY OF AVIGNON UAPV PROJET D EXCELLENC	              1	     0.183
E SPIDERNET                                  	               	          
UNIVERSITY OF CAMBRIDGE                      	              1	     0.183
UNIVERSITY OF DEBRECEN                       	              1	     0.183
UNIVERSITY OF GRAZ                           	              1	     0.183
UNIVERSITY OF NEBRASKA AT OMAHA LIPTON PROGRA	              1	     0.183
M FUND                                       	               	          
UNIVERSITY OF NORTH CAROLINA WILMINGTON      	              1	     0.183
UNIVERSITY OF PADOVA                         	              1	     0.183
UNIVERSITY OF PISA                           	              1	     0.183
UNIVERSITY OF QUEENSLAND                     	              1	     0.183
UNIVERSITY OF SOUTHAMPTON                    	              1	     0.183
UNIVERSITY OF SUSSEX                         	              1	     0.183
UNIVERSITY OF SUSSEX BUSINESS SCHOOL BRIGHTON	              1	     0.183
UK                                           	               	          
UNIVERSITY OF SZEGED OPEN ACCESS FUND        	              1	     0.183
UNIVERSITY OF WASHINGTON ESCIENCE INSTITUTE  	              1	     0.183
UNMDP                                        	              1	     0.183
UPPSALA UNIVERSITY                           	              1	     0.183
URJC GRANT                                   	              1	     0.183
US ARMY RESEARCH LABORATORY ARL              	              6	     1.097
US ARMY RESEARCH OFFICE                      	              1	     0.183
UTI CHAIR IN MACROECONOMICS AT IIMA          	              1	     0.183
VEDECKA GRANTOVA AGENTURA MSVVAS SR A SAV VEG	              1	     0.183
A                                            	               	          
VIEP BUAP                                    	              1	     0.183
VINNOVA                                      	              2	     0.366
VISITORS PROGRAM OF THE MAX PLANCK INSTITUTE 	              1	     0.183
FOR THE PHYSICS OF COMPLEX SYSTEMS           	               	          
VOLKSWAGEN                                   	              1	     0.183
WALLACE RESEARCH FOUNDATION                  	              1	     0.183
WALLENBERG AI AUTONOMOUS SYSTEMS AND SOFTWARE	              1	     0.183
PROGRAM WASP                                 	               	          
WARREN CENTER FOR NETWORK AND DATA SCIENCES  	              1	     0.183
WASHINGTON RESEARCH FOUNDATION               	              1	     0.183
WELLCOME TRUST                               	              4	     0.731
WINSTON CHURCHILL FOUNDATION OF THE UNITED ST	              1	     0.183
ATES                                         	               	          
YILDIZ TECHNICAL UNIVERSITY                  	              1	     0.183
YOUTH INNOVATION PROMOTION ASSOCIATION OF CAS	              1	     0.183
YOUTH NATURAL SCIENCE FOUNDATION OF SHANXI PR	              1	     0.183
OVINCE                                       	               	          
