Affiliations                                 	   Record Count	         % of 547
SCH INFORMAT TECHNOL                         	              1	     0.183
SCH PSYCHOL                                  	              1	     0.183
SCILIFELAB                                   	              1	     0.183
SCRIPPS COLLEGE                              	              1	     0.183
SCUOLA NORMALE SUPERIORE DI PISA             	              2	     0.366
SEMMELWEIS UNIVERSITY                        	              3	     0.548
SEMNAN UNIVERSITY                            	              1	     0.183
SEOUL NATIONAL UNIVERSITY SNU                	              3	     0.548
SEVEN BRIDGES GENOM                          	              1	     0.183
SHAANXI NORMAL UNIVERSITY                    	              1	     0.183
SHAHID BEHESHTI UNIVERSITY                   	              1	     0.183
SHANDONG UNIVERSITY OF SCIENCE TECHNOLOGY    	              1	     0.183
SHANGHAI JIAO TONG UNIVERSITY                	              1	     0.183
SHANGHAI MARITIME UNIVERSITY                 	              2	     0.366
SHANXI UNIVERSITY                            	              1	     0.183
SHENZHEN ZHONGFU HENGSHENG TECHNOL CO LTD    	              1	     0.183
SHIRAZ UNIVERSITY                            	              1	     0.183
SHIRLEY RYAN ABILITYLAB                      	              1	     0.183
SHIV NADAR INST EMINENCE                     	              1	     0.183
SIEMENS AG                                   	              1	     0.183
SIEMENS GERMANY                              	              1	     0.183
SINGAPORE UNIVERSITY OF TECHNOLOGY DESIGN    	              1	     0.183
SINO OCEAN CAPITAL LTD                       	              1	     0.183
SISECAM TURKEY                               	              1	     0.183
SKOLKOVO INSTITUTE OF SCIENCE TECHNOLOGY     	              1	     0.183
SLOVAK UNIVERSITY OF TECHNOLOGY BRATISLAVA   	              1	     0.183
SOKA UNIVERSITY                              	              1	     0.183
SOOCHOW UNIVERSITY CHINA                     	              1	     0.183
SOOKMYUNG WOMEN S UNIVERSITY                 	              1	     0.183
SORBONNE UNIVERSITE                          	              5	     0.914
SOUTHEAST UNIVERSITY CHINA                   	              2	     0.366
SOUTHERN UNIVERSITY OF SCIENCE TECHNOLOGY    	              1	     0.183
STANFORD UNIVERSITY                          	              2	     0.366
STATE UNIVERSITY OF NEW YORK SUNY SYSTEM     	              6	     1.097
STATE UNIVERSITY SYSTEM OF FLORIDA           	              3	     0.548
STOCKHOLM UNIVERSITY                         	              1	     0.183
SUNGKYUNKWAN UNIVERSITY SKKU                 	              2	     0.366
SUNNYBROOK HEALTH SCIENCE CENTER             	              1	     0.183
SUNNYBROOK RESEARCH INSTITUTE                	              1	     0.183
SUNY MARITIME COLLEGE                        	              1	     0.183
SUNY NEW PALTZ                               	              1	     0.183
SUPERSTRIPES RICMASS                         	              1	     0.183
SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN	              6	     1.097
SZEGED UNIVERSITY                            	              2	     0.366
TAIYUAN UNIVERSITY OF SCIENCE TECHNOLOGY     	              1	     0.183
TAIYUAN UNIVERSITY OF TECHNOLOGY             	              1	     0.183
TARBIAT MODARES UNIVERSITY                   	              1	     0.183
TECH VOCAT UNIV TVU                          	              1	     0.183
TECHNICAL UNIVERSITY OF DARMSTADT            	              1	     0.183
TECHNICAL UNIVERSITY OF DENMARK              	              1	     0.183
TECHNICAL UNIVERSITY OF MUNICH               	              2	     0.366
TECHNION ISRAEL INSTITUTE OF TECHNOLOGY      	              3	     0.548
TECHNISCHE UNIVERSITAT DRESDEN               	              2	     0.366
TECHNISCHE UNIVERSITAT WIEN                  	              1	     0.183
TELAVERGE COMMUN INDIA PVT LTD               	              1	     0.183
TEXAS A M UNIVERSITY COLLEGE STATION         	              1	     0.183
TEXAS A M UNIVERSITY SYSTEM                  	              1	     0.183
TEXAS STATE UNIVERSITY SAN MARCOS            	              1	     0.183
TEXAS STATE UNIVERSITY SYSTEM                	              1	     0.183
THE KIDS RESEARCH INSTITUTE AUSTRALIA        	              1	     0.183
THE SANTA FE INSTITUTE                       	             13	     2.377
TIANJIN CHENGJIAN UNIVERSITY                 	              1	     0.183
TOHO UNIVERSITY                              	              1	     0.183
TOHOKU UNIVERSITY                            	              1	     0.183
TOKIO MARINE NICHIDO RISK CONSULTING CO LTD  	              2	     0.366
TOKYO INSTITUTE OF TECHNOLOGY                	              2	     0.366
TOKYO WOMANS CHRISTIAN UNIV                  	              1	     0.183
TORONTO METROPOLITAN UNIVERSITY              	              8	     1.463
TRINITY COLLEGE DUBLIN                       	              1	     0.183
TSINGHUA UNIVERSITY                          	              1	     0.183
TUFTS UNIVERSITY                             	              1	     0.183
TULANE UNIVERSITY                            	              1	     0.183
TUPAC BIO INC                                	              1	     0.183
TUTTE INST MATH COMP                         	              5	     0.914
U S ARMY CORPS OF ENGINEERS                  	              1	     0.183
U S ARMY ENGINEER RESEARCH DEVELOPMENT CENTER	              1	     0.183
ERDC                                         	               	          
UMEA UNIVERSITY                              	              3	     0.548
UNITED ARAB EMIRATES UNIVERSITY              	              1	     0.183
UNITED STATES AIR FORCE                      	              1	     0.183
UNITED STATES ARMY                           	              2	     0.366
UNITED STATES DEPARTMENT OF DEFENSE          	              7	     1.280
UNITED STATES DEPARTMENT OF ENERGY DOE       	             10	     1.828
UNITED STATES MILITARY ACADEMY               	              1	     0.183
UNITED STATES NAVAL ACADEMY                  	              1	     0.183
UNITED STATES NAVY                           	              2	     0.366
UNIV ART                                     	              1	     0.183
UNIV AUTONOMA CIUDAD MEXICO UACM             	              1	     0.183
UNIV MARIANA                                 	              1	     0.183
UNIV MOHAMED SEDDIK BENYAHIA JIJEL           	              1	     0.183
UNIV PARIS EST                               	              1	     0.183
UNIV SOUTHERN INDIANA                        	              2	     0.366
UNIV TEXAS SOUTHWESTERN MED SCH              	              1	     0.183
UNIV THESSALY                                	              1	     0.183
UNIVERSIDAD AUTONOMA DE NUEVO LEON           	              1	     0.183
UNIVERSIDAD CARLOS III DE MADRID             	              1	     0.183
UNIVERSIDAD DE ANTIOQUIA                     	              1	     0.183
UNIVERSIDAD DE CHILE                         	              1	     0.183
UNIVERSIDAD DE LA REPUBLICA URUGUAY          	              1	     0.183
UNIVERSIDAD DE LOS ANDES COLOMBIA            	              1	     0.183
UNIVERSIDAD DEL VALLE                        	              1	     0.183
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO      	              5	     0.914
UNIVERSIDAD NACIONAL DE COLOMBIA             	              1	     0.183
UNIVERSIDAD NACIONAL DEL COMAHUE             	              1	     0.183
UNIVERSIDAD POLITECNICA DE MADRID            	              1	     0.183
UNIVERSIDAD REY JUAN CARLOS                  	              2	     0.366
UNIVERSIDADE CATOLICA DE BRASILIA            	              1	     0.183
UNIVERSIDADE DE BRASILIA                     	              1	     0.183
UNIVERSIDADE DE SAO PAULO                    	             14	     2.559
UNIVERSIDADE DO PORTO                        	              2	     0.366
UNIVERSIDADE ESTADUAL DE MARINGA             	              1	     0.183
UNIVERSIDADE ESTADUAL DE PONTA GROSSA        	              1	     0.183
UNIVERSIDADE ESTADUAL PAULISTA               	              1	     0.183
UNIVERSIDADE FEDERAL DA BAHIA                	              2	     0.366
UNIVERSIDADE FEDERAL DE JUIZ DE FORA         	              2	     0.366
UNIVERSIDADE FEDERAL DE LAVRAS               	              1	     0.183
UNIVERSIDADE FEDERAL DE MINAS GERAIS         	              1	     0.183
UNIVERSIDADE FEDERAL DE PERNAMBUCO           	              1	     0.183
UNIVERSIDADE FEDERAL DE SAO JOAO DEL REI     	              1	     0.183
UNIVERSIDADE FEDERAL DO CEARA                	              2	     0.366
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE  	              1	     0.183
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL    	              1	     0.183
UNIVERSITA CA FOSCARI VENEZIA                	              2	     0.366
UNIVERSITA DEGLI STUDI DI BARI ALDO MORO     	              1	     0.183
UNIVERSITA DELLA SVIZZERA ITALIANA           	              2	     0.366
UNIVERSITA DI MODENA E REGGIO EMILIA         	              1	     0.183
UNIVERSITAT DE LES ILLES BALEARS             	              1	     0.183
UNIVERSITAT ROVIRA I VIRGILI                 	              4	     0.731
UNIVERSITE CATHOLIQUE LOUVAIN                	              9	     1.645
UNIVERSITE CLAUDE BERNARD LYON 1             	              4	     0.731
UNIVERSITE COTE D AZUR                       	              1	     0.183
UNIVERSITE DE BOURGOGNE                      	              1	     0.183
UNIVERSITE DE MONTREAL                       	              1	     0.183
UNIVERSITE DE TOULON                         	              1	     0.183
UNIVERSITE DE TOULOUSE                       	              2	     0.366
UNIVERSITE DE TOULOUSE JEAN JAURES           	              1	     0.183
UNIVERSITE FEDERALE TOULOUSE MIDI PYRENEES CO	              1	     0.183
MUE                                          	               	          
UNIVERSITE JEAN MONNET                       	              1	     0.183
UNIVERSITE JEAN MOULIN LYON 3                	              1	     0.183
UNIVERSITE LIBRE DE BRUXELLES                	              1	     0.183
UNIVERSITE LYON 2                            	              2	     0.366
UNIVERSITE PARIS CITE                        	              4	     0.731
UNIVERSITE PARIS EST CRETEIL VAL DE MARNE UPE	              1	     0.183
C                                            	               	          
UNIVERSITE PARIS SACLAY                      	              4	     0.731
UNIVERSITE PSL                               	              2	     0.366
UNIVERSITE TOULOUSE 1 CAPITOLE               	              1	     0.183
UNIVERSITE TOULOUSE III PAUL SABATIER        	              1	     0.183
UNIVERSITI UTARA MALAYSIA                    	              1	     0.183
UNIVERSITY AT BUFFALO SUNY                   	              2	     0.366
UNIVERSITY COLLEGE CORK                      	              1	     0.183
UNIVERSITY COLLEGE DUBLIN                    	              1	     0.183
UNIVERSITY COLLEGE LONDON                    	              6	     1.097
UNIVERSITY HOSPITAL OF PARMA                 	              1	     0.183
UNIVERSITY KASHAN                            	              1	     0.183
UNIVERSITY NACIONAL CUYO MENDOZA             	              2	     0.366
UNIVERSITY OF ADELAIDE                       	              2	     0.366
UNIVERSITY OF ALABAMA BIRMINGHAM             	              1	     0.183
UNIVERSITY OF ALABAMA SYSTEM                 	              1	     0.183
UNIVERSITY OF AMSTERDAM                      	              3	     0.548
UNIVERSITY OF AUCKLAND                       	              3	     0.548
UNIVERSITY OF BARCELONA                      	              1	     0.183
UNIVERSITY OF BASEL                          	              1	     0.183
UNIVERSITY OF BATH                           	              2	     0.366
UNIVERSITY OF BELGRADE                       	              2	     0.366
UNIVERSITY OF BIRMINGHAM                     	              3	     0.548
UNIVERSITY OF BRISTOL                        	              5	     0.914
UNIVERSITY OF BRITISH COLUMBIA               	              2	     0.366
UNIVERSITY OF BUCHAREST                      	              2	     0.366
UNIVERSITY OF BUENOS AIRES                   	              1	     0.183
UNIVERSITY OF CALCUTTA                       	              2	     0.366
UNIVERSITY OF CALGARY                        	              1	     0.183
UNIVERSITY OF CALIFORNIA BERKELEY            	              2	     0.366
UNIVERSITY OF CALIFORNIA DAVIS               	              3	     0.548
UNIVERSITY OF CALIFORNIA IRVINE              	              2	     0.366
UNIVERSITY OF CALIFORNIA LOS ANGELES         	             11	     2.011
UNIVERSITY OF CALIFORNIA LOS ANGELES MEDICAL 	              1	     0.183
CENTER                                       	               	          
UNIVERSITY OF CALIFORNIA RIVERSIDE           	              2	     0.366
UNIVERSITY OF CALIFORNIA SAN DIEGO           	              4	     0.731
UNIVERSITY OF CALIFORNIA SAN FRANCISCO       	              2	     0.366
UNIVERSITY OF CALIFORNIA SANTA BARBARA       	              1	     0.183
UNIVERSITY OF CALIFORNIA SANTA CRUZ          	              1	     0.183
UNIVERSITY OF CALIFORNIA SYSTEM              	             21	     3.839
UNIVERSITY OF CAMBRIDGE                      	              9	     1.645
UNIVERSITY OF CAPE TOWN                      	              1	     0.183
UNIVERSITY OF CATANIA                        	              5	     0.914
UNIVERSITY OF CHICAGO                        	              1	     0.183
UNIVERSITY OF COLORADO BOULDER               	              2	     0.366
UNIVERSITY OF COLORADO SYSTEM                	              2	     0.366
UNIVERSITY OF CONNECTICUT                    	              1	     0.183
UNIVERSITY OF COPENHAGEN                     	              1	     0.183
UNIVERSITY OF DAR ES SALAAM                  	              1	     0.183
UNIVERSITY OF DENVER                         	              1	     0.183
UNIVERSITY OF EAST ANGLIA                    	              1	     0.183
UNIVERSITY OF EASTERN FINLAND                	              1	     0.183
UNIVERSITY OF EASTERN PIEDMONT AMEDEO AVOGADR	              1	     0.183
O                                            	               	          
UNIVERSITY OF EDINBURGH                      	              1	     0.183
UNIVERSITY OF ESSEX                          	              1	     0.183
UNIVERSITY OF EXETER                         	              4	     0.731
UNIVERSITY OF FLORENCE                       	              1	     0.183
UNIVERSITY OF FLORIDA                        	              2	     0.366
UNIVERSITY OF GENOA                          	              2	     0.366
UNIVERSITY OF GEORGIA                        	              1	     0.183
UNIVERSITY OF GOTHENBURG                     	              2	     0.366
UNIVERSITY OF GOTTINGEN                      	              1	     0.183
UNIVERSITY OF GRAZ                           	              1	     0.183
UNIVERSITY OF HAWAII MANOA                   	              1	     0.183
UNIVERSITY OF HAWAII SYSTEM                  	              1	     0.183
UNIVERSITY OF HELSINKI                       	              1	     0.183
UNIVERSITY OF HOUSTON                        	              2	     0.366
UNIVERSITY OF HOUSTON SYSTEM                 	              2	     0.366
UNIVERSITY OF ILLINOIS CHICAGO               	              7	     1.280
UNIVERSITY OF ILLINOIS CHICAGO HOSPITAL      	              7	     1.280
UNIVERSITY OF ILLINOIS SYSTEM                	              7	     1.280
UNIVERSITY OF INFORMATION TECHNOLOGY MANAGEME	              1	     0.183
NT RZESZOW                                   	               	          
UNIVERSITY OF INSUBRIA                       	              1	     0.183
UNIVERSITY OF IOWA                           	              2	     0.366
UNIVERSITY OF KANSAS                         	              1	     0.183
UNIVERSITY OF KANSAS MEDICAL CENTER          	              1	     0.183
UNIVERSITY OF KENT                           	              1	     0.183
UNIVERSITY OF KENTUCKY                       	              1	     0.183
UNIVERSITY OF KERALA                         	              2	     0.366
UNIVERSITY OF KONSTANZ                       	              4	     0.731
UNIVERSITY OF L AQUILA                       	              1	     0.183
UNIVERSITY OF LAUSANNE                       	              4	     0.731
UNIVERSITY OF LEEDS                          	              1	     0.183
UNIVERSITY OF LIMERICK                       	              7	     1.280
UNIVERSITY OF LONDON                         	             16	     2.925
UNIVERSITY OF MANCHESTER                     	              3	     0.548
UNIVERSITY OF MANITOBA                       	              1	     0.183
UNIVERSITY OF MARIBOR                        	              6	     1.097
UNIVERSITY OF MARYLAND COLLEGE PARK          	              2	     0.366
UNIVERSITY OF MELBOURNE                      	              1	     0.183
UNIVERSITY OF MIAMI                          	              3	     0.548
UNIVERSITY OF MICHIGAN                       	              8	     1.463
UNIVERSITY OF MICHIGAN SYSTEM                	              8	     1.463
UNIVERSITY OF NAMUR                          	              4	     0.731
UNIVERSITY OF NEBRASKA LINCOLN               	              2	     0.366
UNIVERSITY OF NEBRASKA SYSTEM                	              3	     0.548
UNIVERSITY OF NEW MEXICO                     	              1	     0.183
UNIVERSITY OF NORTH CAROLINA                 	              7	     1.280
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL     	              3	     0.548
UNIVERSITY OF NORTH CAROLINA CHARLOTTE       	              3	     0.548
UNIVERSITY OF NORTH CAROLINA SCHOOL OF MEDICI	              2	     0.366
NE                                           	               	          
UNIVERSITY OF NORTH CAROLINA WILMINGTON      	              1	     0.183
UNIVERSITY OF NOTRE DAME                     	              2	     0.366
UNIVERSITY OF OTTAWA                         	              1	     0.183
UNIVERSITY OF OXFORD                         	             30	     5.484
UNIVERSITY OF PADERBORN                      	              1	     0.183
UNIVERSITY OF PADUA                          	              2	     0.366
UNIVERSITY OF PALERMO                        	              3	     0.548
UNIVERSITY OF PANNONIA                       	              1	     0.183
UNIVERSITY OF PARMA                          	              2	     0.366
UNIVERSITY OF PENNSYLVANIA                   	              9	     1.645
UNIVERSITY OF PISA                           	              2	     0.366
UNIVERSITY OF PITTSBURGH                     	              2	     0.366
UNIVERSITY OF POTSDAM                        	              2	     0.366
UNIVERSITY OF QUEENSLAND                     	              1	     0.183
UNIVERSITY OF READING                        	              1	     0.183
UNIVERSITY OF ROCHESTER                      	              1	     0.183
UNIVERSITY OF ROME TOR VERGATA               	              4	     0.731
UNIVERSITY OF RZESZOW                        	              1	     0.183
UNIVERSITY OF SHANGHAI FOR SCIENCE TECHNOLOGY	              1	     0.183
UNIVERSITY OF SOUTH FLORIDA                  	              1	     0.183
UNIVERSITY OF SOUTHAMPTON                    	              6	     1.097
UNIVERSITY OF SOUTHERN CALIFORNIA            	              5	     0.914
UNIVERSITY OF STRATHCLYDE                    	              8	     1.463
UNIVERSITY OF SUSSEX                         	              4	     0.731
UNIVERSITY OF SYDNEY                         	              1	     0.183
UNIVERSITY OF TEHRAN                         	              2	     0.366
UNIVERSITY OF TENNESSEE KNOXVILLE            	              1	     0.183
UNIVERSITY OF TENNESSEE SYSTEM               	              1	     0.183
UNIVERSITY OF TEXAS AT SAN ANTONIO UTSA      	              1	     0.183
UNIVERSITY OF TEXAS DALLAS                   	              1	     0.183
UNIVERSITY OF TEXAS SYSTEM                   	              2	     0.366
UNIVERSITY OF THESSALY                       	              1	     0.183
UNIVERSITY OF TOKYO                          	              3	     0.548
UNIVERSITY OF TORONTO                        	              5	     0.914
UNIVERSITY OF TRENTO                         	             11	     2.011
UNIVERSITY OF TRIESTE                        	              1	     0.183
UNIVERSITY OF TURIN                          	              4	     0.731
UNIVERSITY OF TWENTE                         	              3	     0.548
UNIVERSITY OF UTAH                           	              1	     0.183
UNIVERSITY OF VERMONT                        	              2	     0.366
UNIVERSITY OF VERONA                         	              1	     0.183
UNIVERSITY OF VIENNA                         	              1	     0.183
UNIVERSITY OF WARWICK                        	              1	     0.183
UNIVERSITY OF WASHINGTON                     	              2	     0.366
UNIVERSITY OF WASHINGTON SEATTLE             	              2	     0.366
UNIVERSITY OF WATERLOO                       	              1	     0.183
UNIVERSITY OF WESTERN AUSTRALIA              	              2	     0.366
UNIVERSITY OF WISCONSIN MADISON              	              1	     0.183
UNIVERSITY OF WISCONSIN SYSTEM               	              1	     0.183
UNIVERSITY OF WURZBURG                       	              1	     0.183
UNIVERSITY OF YORK UK                        	              7	     1.280
UNIVERSITY OF ZARAGOZA                       	              6	     1.097
UNIVERSITY OF ZURICH                         	              2	     0.366
UNIVERSITY SYSTEM OF GEORGIA                 	              6	     1.097
UNIVERSITY SYSTEM OF MARYLAND                	              2	     0.366
UNIVERSITY SYSTEM OF OHIO                    	              4	     0.731
UPENN SCH MED                                	              1	     0.183
UPPSALA UNIVERSITY                           	              3	     0.548
URSINUS COLL                                 	              1	     0.183
US AIR FORCE RESEARCH LABORATORY             	              1	     0.183
US ARMY RESEARCH DEVELOPMENT ENGINEERING COMM	              1	     0.183
AND RDECOM                                   	               	          
US ARMY RESEARCH LABORATORY ARL              	              1	     0.183
US CCDC ARMY RES LAB                         	              1	     0.183
UTAH SYSTEM OF HIGHER EDUCATION              	              1	     0.183
UTRECHT UNIVERSITY                           	              2	     0.366
V A TRAPEZNIKOV INSTITUTE OF CONTROL SCIENCES	              1	     0.183
RUSSIAN ACADEMY OF SCIENCES                  	               	          
VILLE AVIGNON                                	              1	     0.183
VILNIUS UNIVERSITY                           	              1	     0.183
VIRGINIA MIL INST                            	              1	     0.183
VIRGINIA POLYTECHNIC INSTITUTE STATE UNIVERSI	              1	     0.183
TY                                           	               	          
VISHWAMITRA RES INST                         	              1	     0.183
VRIJE UNIVERSITEIT AMSTERDAM                 	              1	     0.183
VRIJE UNIVERSITEIT BRUSSEL                   	              1	     0.183
WAKE FOREST UNIVERSITY                       	              1	     0.183
WAKE FOREST UNIVERSITY SCHOOL OF MEDICINE    	              1	     0.183
WARSAW SCHOOL OF ECONOMICS                   	              8	     1.463
WASEDA UNIVERSITY                            	              3	     0.548
WASHINGTON UNIVERSITY WUSTL                  	              2	     0.366
WEST POINT ACAD                              	              1	     0.183
WICHITA STATE UNIVERSITY                     	              1	     0.183
WIEN CTR                                     	              1	     0.183
WINONA STATE UNIVERSITY                      	              1	     0.183
WOLFRAM RESEARCH INC                         	              1	     0.183
WOODS HOLE INST                              	              1	     0.183
WROCLAW UNIVERSITY OF SCIENCE TECHNOLOGY     	              1	     0.183
WUHAN UNIVERSITY OF SCIENCE TECHNOLOGY       	              1	     0.183
WUHAN UNIVERSITY OF TECHNOLOGY               	              1	     0.183
WUXI INSTITUTE OF TECHNOLOGY                 	              1	     0.183
XI AN JIAOTONG LIVERPOOL UNIVERSITY          	              2	     0.366
XI AN UNIVERSITY OF SCIENCE TECHNOLOGY       	              1	     0.183
XLRI XAVIER SCHOOL OF MANAGEMENT             	              1	     0.183
YALE UNIVERSITY                              	              1	     0.183
YANDEX                                       	              1	     0.183
YANSHAN UNIVERSITY                           	              1	     0.183
YANTAI INSTITUTE OF COASTAL ZONE RESEARCH CAS	              1	     0.183
YANTAI UNIVERSITY                            	              1	     0.183
YESHIVA UNIVERSITY                           	              3	     0.548
ZAYED UNIVERSITY                             	              1	     0.183
ZHEJIANG GONGSHANG UNIVERSITY                	              1	     0.183
ZHEJIANG YUYING COLL VOCAT TECHNOL           	              1	     0.183
ZHENGZHOU UNIVERSITY                         	              1	     0.183
ZHENGZHOU UNIVERSITY OF TECHNOLOGY           	              1	     0.183
