Funding Agencies                             	   Record Count	       % of 1,557
HIP AWARD AT AFRL MUNITIONS DIRECTORATE      	               	          
NATIONAL RESEARCH DEVELOPMENT AND INNOVATION 	              1	     0.064
FUND OF HUNGARY                              	               	          
NATIONAL RESEARCH FOUNDATION OF KOREA        	              1	     0.064
NATIONAL SCIENCE AND TECHNOLOGY COUNCIL      	              1	     0.064
NATIONAL SCIENCE FOUNDATION UNDER AN IGERT AW	              1	     0.064
ARD                                          	               	          
NATIONAL SCIENCE FOUNDATION UNDER AN IGERT AW	              1	     0.064
ARD BIG DATA SOCIAL SCIENCE                  	               	          
NATIONAL SOCIAL SCIENCE FUND OF CHINA        	              1	     0.064
NATIONAL SOCIAL SCIENCE RESEARCH FUNDS       	              1	     0.064
NATURAL ENVIRONMENT RESEARCH COUNCIL NERC    	              1	     0.064
NATURAL SCIENCE FOUNDATION OF HEBEI PROVINCE 	              1	     0.064
NETHERLANDS INITIATIVE FOR EDUCATION RESEARCH	              1	     0.064
NRO                                          	               	          
NETHERLANDS MINISTRY OF FOREIGN AFFAIRS THROU	              1	     0.064
GH NWO WOTRO                                 	               	          
NIH NATIONAL CANCER INSTITUTE NCI            	              1	     0.064
NIH NATIONAL CENTER FOR ADVANCING TRANSLATION	              1	     0.064
AL SCIENCES                                  	               	          
NIH NATIONAL CENTER FOR RESEARCH RESOURCES NC	              1	     0.064
RR                                           	               	          
NIH NATIONAL INSTITUTE OF ENVIRONMENTAL HEALT	              1	     0.064
H SCIENCES NIEHS                             	               	          
NIHR UNITED KINGDOM CAREER DEVELOPMENT FELLOW	              1	     0.064
SHIP                                         	               	          
NOAA S RISA PROGRAM                          	              1	     0.064
NORDFORSK                                    	              1	     0.064
NORFACE RESEARCH PROGRAM ON MIGRATION IN EURO	              1	     0.064
PE SOCIAL ECONOMIC CULTURAL AND POLICY DYNAMICS	               	          
NORTHEASTERN UNIVERSITY                      	              1	     0.064
NORTHWESTERN UNIVERSITY                      	              1	     0.064
NORWEGIAN AGENCY FOR DEVELOPMENT COOPERATION 	              1	     0.064
NORAD                                        	               	          
NOUVELLE AQUITAINE REGION                    	              1	     0.064
NPO SYSTEMIC RISK INSTITUTE EUROPEAN UNION NE	              1	     0.064
XT GENERATION EU MINISTRY OF EDUCATION YOUTH AND SPORTS NPO EXCELES	               	          
NSF DIRECTORATE FOR BIOLOGICAL SCIENCES BIO  	              1	     0.064
NSF SBE DOCTORAL DISSERTATION RESEARCH IMPROV	              1	     0.064
EMENT GRANT FROM THE NATIONAL CENTER FOR SCIENCE AND ENGINEERING STATISTICS	               	          
NUFFIELD COLLEGE UNIVERSITY OF OXFORD NEW ROA	              1	     0.064
D UNITED KINGDOM                             	               	          
NWO ORA GRANT                                	              1	     0.064
NWO RESEARCH TALENT PROGRAM THE NETHERLANDS  	              1	     0.064
OESCHGER CENTRE FOR CLIMATE CHANGE RESEARCH  	              1	     0.064
OFFICE OF SOCIAL SCIENCE RESEARCH            	              1	     0.064
OHIO STATE UNIVERSITY                        	              1	     0.064
OHIO STATE UNIVERSITY INSTITUTE FOR POPULATIO	              1	     0.064
N RESEARCH                                   	               	          
OPEN RESEARCH AREA IN EUROPE FOR THE SOCIAL S	              1	     0.064
CIENCES ORA JOINT FUNDING SCHEME             	               	          
OTKA PROJECT ROLE OF CLEAVAGES VALUES AND IDE	              1	     0.064
NTITY IN THE DEVELOPMENT OF HUNGARIAN PARTY SYSTEM 2000 2014	               	          
OXFORD MARTIN SCHOOL UNIVERSITY OF OXFORD    	              1	     0.064
OXFORD UNIVERSITY CENTRE FOR CORPORATE REPUTA	              1	     0.064
TION                                         	               	          
PENN STATE S SOCIAL SCIENCE RESEARCH INSTITUT	              1	     0.064
E                                            	               	          
PENNSYLVANIA STATE UNIVERSITY CRIMINAL JUSTIC	              1	     0.064
E RESEARCH CENTER                            	               	          
PGR MOBILITY GRANT SCHEME OF THE HUMANITIES S	              1	     0.064
TRATEGIC INVESTMENT FUND HSIF OF THE UNIVERSITY OF MANCHESTER	               	          
PHD FELLOWSHIP ASPIRANT OF RESEARCH FOUNDATIO	              1	     0.064
N FLANDERS FWO                               	               	          
PLATFORM DIGITALE INFRASTRUCTUUR SOCIAL SCIEN	              1	     0.064
CES AND HUMANITIES PDI SSH                   	               	          
POLISH NATIONAL SCIENCE CENTER NARODOWE CENTR	              1	     0.064
UM NAUKI UNDER THE GRANT OPUS 6              	               	          
PRIN MUR PROGETTI DI RILEVANTE INTERESSE NAZI	              1	     0.064
ONALE ITALIAN MINISTRY OF UNIVERSITY AND RESEARCH GRANT	               	          
PRIN MUR PROGETTI DI RILEVANTEINTERESSE NAZIO	              1	     0.064
NALE ITALIAN MINISTRY OF UNIVERSITY AND RESEARCH GRANT	               	          
PROPOSAL DEVELOPMENT GRANT THROUGH INDIANA CL	              1	     0.064
INICAL AND TRANSLATIONAL SCIENCES INSTITUTE  	               	          
PROVIDENCE HEALTHCARE VANCOUVER CA           	              1	     0.064
PUBLIC PROSECUTOR S OFFICE OF PALERMO        	              1	     0.064
R21 RESEARCH GRANT FROM THE NATIONAL INSTITUT	              1	     0.064
E OF MENTAL HEALTH                           	               	          
REGION PROVENCE ALPES COTE D AZUR            	              1	     0.064
RESEARCH CENTER FOR HUMANITIES AND SOCIAL SCI	              1	     0.064
ENCES ACADEMIA SINICA                        	               	          
RESEARCH FUND FOR THE DOCTORAL PROGRAM OF HIG	              1	     0.064
HER EDUCATION OF CHINA RFDP                  	               	          
RESEARCH FUND OF THE SCHOOL OF SOCIAL DEVELOP	              1	     0.064
MENT AND PUBLIC POLICY AT FUDAN UNIVERSITY   	               	          
RESEARCH GRANT COLLABORATION AND PUBLICATIONS	              1	     0.064
IN TOP JOURNALS DETERMINANTS OF POLISH SCIENTISTS PRODUCTIVITY IN DISCIPLINE OF ECONOMICS AT FACULTY OF ECONOMIC SCIENCES UNIVERSITY OF WARSAW	               	          
RESEARCH PROJECT SOCIAL CAPITAL ITS ORIGINS A	              1	     0.064
ND CONSEQUENCES                              	               	          
RESEARCH TECHNOLOGY SERVICES AT UNSW SYDNEY  	              1	     0.064
RESPONDING TO RAPID ENVIRONMENTAL CHANGE REAC	              1	     0.064
H IGERT                                      	               	          
RIKEN ADVANCED INSTITUTE FOR COMPUTATIONAL SC	              1	     0.064
IENCE THROUGH THE HPCI SYSTEM RESEARCH PROJECT	               	          
RIKSBANKENS JUBILEUMSFOND                    	              1	     0.064
RURAL DRUG ADDICTION RESEARCH CENTER AT THE U	              1	     0.064
NIVERSITY OF NEBRASKA LINCOLN                	               	          
RUSSELL SAGE FOUNDATION                      	              1	     0.064
RUSSIAN FOUNDATION FOR HUMANITIES            	              1	     0.064
RUTGERS SCHOOL OF COMMUNICATION AND INFORMATI	              1	     0.064
ON FACULTY                                   	               	          
SAMSUNG                                      	              1	     0.064
SCHOOL OF SOCIAL DEVELOPMENT AND PUBLIC POLIC	              1	     0.064
Y AT FUDAN UNIVERSITY                        	               	          
SCHOOL OF SOCIAL SCIENCES OF SINGAPORE MANAGE	              1	     0.064
MENT UNIVERSITY                              	               	          
SCHWEIZERISCHER NATIONALFONDS ZUR FO SPACING 	              1	     0.064
DIAERESIS RDERUNG DER WISSENSCHAFTLICHEN FORSCHUNG	               	          
SCIENCE FOUNDATION OF HEBEI NORMAL UNIVERSITY	              1	     0.064
SCIENCES PO DYREM PROJECT                    	              1	     0.064
SECURITY ADMINISTRATION NNSA OF THE UNITED ST	              1	     0.064
ATES DEPARTMENT OF ENERGY DOE                	               	          
SHAANXI PROVINCIAL SOCIAL SCIENCE FOUNDATION 	              1	     0.064
SHAANXI PROVINCIAL SOFT SCIENCE PROJECT      	              1	     0.064
SHANDONG PROVINCE NATURAL SCIENCE FOUNDATION 	              1	     0.064
OF CHINA                                     	               	          
SICHUAN SCIENCE AND TECHNOLOGY PLAN PROJECT  	              1	     0.064
SMU S CENTRE FOR MARKETING EXCELLENCE        	              1	     0.064
SOCIAL BEHAVIORAL SCIENCE FUND AT WAKE FOREST	              1	     0.064
UNIVERSITY                                   	               	          
SOCIAL NETWORKS LAB OF ETH ZURICH            	              1	     0.064
SOCIAL SCIECNES AND HUMANITIES RESEARCH COUNC	              1	     0.064
IL OF CANADA SSHRC                           	               	          
SOCSEMICS ERC CONSOLIDATOR GRANT             	              1	     0.064
SPANISH CENTER FOR SOCIOLOGICAL RESEARCH CENT	              1	     0.064
RO DE INVESTIGACIONES SOCIOLEGICAS CIS MADRID	               	          
SPANISH COUNCIL FOR SCIENTIFIC RESEARCH CSIC 	              1	     0.064
SSHRC CANADA 150 RESEARCH CHAIRS PROGRAM     	              1	     0.064
STANTEC INC                                  	              1	     0.064
STARTUP FUNDING OF NWPU                      	              1	     0.064
SUMITOMO FOUNDATION                          	              1	     0.064
SWEDISH RESEARCH COUNCIL FOR HEALTH WORKING L	              1	     0.064
IFE AND WELFARE FORTE                        	               	          
SWEDISH RESEARCH COUNCIL FORMAS              	              1	     0.064
SWISS NATIONAL CENTRE OF COMPETENCE IN RESEAR	              1	     0.064
CH LIVES OVERCOMING VULNERABILITY LIFE COURSE PERSPECTIVES SWISS NATIONAL FOUNDATION	               	          
SWISS NATIONAL SCIENCE FOUNDATION GRANT SWITZ	              1	     0.064
ERLAND                                       	               	          
TADEUSZ MANTEUFFEL INSTITUTE OF HISTORY OF PO	              1	     0.064
LISH ACADEMY OF SCIENCES                     	               	          
TAIWAN S MINISTRY OF SCIENCE AND TECHNOLOGY  	              1	     0.064
TOWN COUNCIL OF CAEN                         	              1	     0.064
TSINGHUA S RESEARCH PROJECT MINING TIE STRENG	              1	     0.064
TH AND SOCIAL CAPITAL BY USING TELECOM BIG DATA	               	          
U S NATIONAL SCIENCE FOUNDATION S SCIENCE OF 	              1	     0.064
ORGANIZATIONS PROGRAM                        	               	          
UC DAVIS                                     	              1	     0.064
UIC S OFFICE OF SOCIAL SCIENCE RESEARCH      	              1	     0.064
UKCRC CENTRE OF EXCELLENCE FOR PUBLIC HEALTH 	              1	     0.064
RESEARCH NORTHERN IRELAND BRITISH HEART FOUNDATION UNITED KINGDOM	               	          
UNICEF NIGER                                 	              1	     0.064
UNIDAD ASOCIADA ESTUDIOS DEMOGRAFICOS Y SOCIA	              1	     0.064
LES                                          	               	          
UNITED STATES DEPARTMENT OF ENERGY DOE       	              1	     0.064
UNIVERSIDAD DE MALAGA SPAIN CBUA             	              1	     0.064
UNIVERSITIES OF THE STATE OF BADEN WURTTEMBER	              1	     0.064
G GERMANY                                    	               	          
UNIVERSITY COLLEGE DUBLIN AND CHINA SCHOLARSH	              1	     0.064
IP COUNCIL UCD CSC                           	               	          
UNIVERSITY COLLEGE LONDON UNITED KINGDOM THRO	              1	     0.064
UGH THE UCL OVERSEAS RESEARCH SCHOLARSHIP    	               	          
UNIVERSITY GRANTS COMMISSION INDIA           	              1	     0.064
UNIVERSITY OF BAMBERG                        	              1	     0.064
UNIVERSITY OF CALIFORNIA DIVISION OF AGRICULT	              1	     0.064
URE AND NATURAL RESOURCES                    	               	          
UNIVERSITY OF FLORIDA CLINICAL AND TRANSLATIO	              1	     0.064
NAL SCIENCE INSTITUTE                        	               	          
UNIVERSITY OF GRONINGEN                      	              1	     0.064
UNIVERSITY OF HAWAII GRADUATE STUDENT ORGANIZ	              1	     0.064
ATION                                        	               	          
UNIVERSITY OF KENTUCKY CENTER FOR COMPUTATION	              1	     0.064
AL SCIENCES AND INFORMATION TECHNOLOGY SERVICES RESEARCH COMPUTING	               	          
UNIVERSITY OF MARYLAND                       	              1	     0.064
UNIVERSITY OF OXFORD                         	              1	     0.064
UNIVERSITY OF PADOVA UNIVERSITY OF SOCIAL SCI	              1	     0.064
ENCES OPUS 19 GRANT OF THE POLISH NATIONAL SCIENCE CENTER	               	          
UNIVERSITY OF PARIS DAUPHINE                 	              1	     0.064
UNIVERSITY OF PERUGIA                        	              1	     0.064
UNIVERSITY OF QUEENSLAND                     	              1	     0.064
UNIVERSITY OF SOUTHERN CALIFORNIA S CENTER FO	              1	     0.064
R HIGH PERFORMANCE COMPUTING                 	               	          
UNIVERSITY OF TARTU ASTRA PROJECT PER ASPERA 	              1	     0.064
UNIVERSITY OF VICTORIA                       	              1	     0.064
UNIVERSITY RESEARCH THEME DYNAMICS OF YOUTH  	              1	     0.064
UNIVERSITY SCHOOL OF COMMUNICATION DISSERTATI	              1	     0.064
ON GRANT                                     	               	          
UPTAKE TECHNOLOGIES INC                      	              1	     0.064
US ARMY RESEARCH INSTITUTE FOR THE BEHAVIORAL	              1	     0.064
AND SOCIAL SCIENCES                          	               	          
US GOVERNMENT S PRESIDENT S EMERGENCY PLAN FO	              1	     0.064
R AIDS RELIEF PEPFAR                         	               	          
US NATIONAL INSTITUTE OF JUSTICE             	              1	     0.064
VERNIEUWINGSIMPULS VENI                      	              1	     0.064
VICTORIAN LIFE SCIENCES COMPUTATION INITIATIV	              1	     0.064
E VLSCI GRANT ON ITS PEAK COMPUTING FACILITY AT THE UNIVERSITY OF MELBOURNE AN INITIATIVE OF THE VICTORIAN GOVERNMENT AUSTRALIA	               	          
VOLKSWAGEN FOUNDATION GRANT GERMANY          	              1	     0.064
WASEDA UNIVERSITY GRANT                      	              1	     0.064
WELLCOME TRUST                               	              1	     0.064
WOMEN IN SCIENCE AND ENGINEERING NETWORK ACCE	              1	     0.064
SS PARTICIPATION AND CAREER OUTCOMES NETWISE PROJECT NATIONAL SCIENCE FOUNDATION	               	          
YOUTH TOP TALENT PROJECT OF HEBEI EDUCATION D	              1	     0.064
EPARTMENT                                    	               	          
ZUKUNFTSKOLLEG OF THE UNIVERSITY OF KONSTANZ 	              1	     0.064
GERMANY                                      	               	          
